,pharma_cid,total,attended,lost
268,companybd928413-ba60-11ec-92a6-15da32790bbd,0,0,0
269,company98d38a28-6b02-11ec-992d-8f45ea9cfbf0,0,0,0
270,company26b9af9e-8042-11ec-9e02-dd26655d72cc,0,0,0
271,company587ff414-b651-11ec-9344-895a76899af1,0,0,0
272,companyad998a1e-b4b1-11ec-bcf4-7de3e7434c76,0,0,0
273,companycc8576ea-9b9c-11ec-976e-0ddcedd981e9,0,0,0
274,company68473f0b-a2ab-11ec-8267-25235a91d880,0,0,0
275,companya4121f6f-9b9e-11ec-a189-cf8a6ff0d990,0,0,0
276,company8ebe9bad-b02f-11ec-8c81-2197c61e70c4,0,0,0
277,company0322c71b-63b9-11ec-9b09-eb93b3124849,1,0,500
278,company008113e0-a50d-11ec-acee-e9b46cfff800,0,0,0
279,company3a44e623-aa75-11ec-aae0-5572b7de1996,0,0,0
280,company7333005b-bfdc-11ec-8757-55a4e29b4142,0,0,0
281,companyffb62bbe-a0fe-11ec-86ec-f9ccc724623b,0,0,0
282,company8011a4f2-8afd-11ec-a6bd-a140798491eb,0,0,0
283,companyc07ce655-6a1a-11ec-b5d7-55c575f451f3,0,0,0
284,company3dcbdf54-99ee-11ec-8273-29d6c51244cc,0,0,0
285,companyeeced1aa-c60a-11ec-96c4-d5567193c071,0,0,0
286,companyf8120964-a034-11ec-b0f8-5d64f60ac2cc,0,0,0
287,company15123230-ba39-11ec-8e5a-05d402750a07,0,0,0
288,companyc4b88eab-a03c-11ec-973b-f90f3beb9754,0,0,0
289,company6bbedccf-956e-11ec-93e8-b755a86e9e27,0,0,0
290,company41d53e80-a6c3-11ec-abc9-b390ec225744,0,0,0
291,company928f3fcb-a44b-11ec-91a2-1d4b96d64338,0,0,0
292,company7900c5d0-9461-11ec-9368-db4624e01c68,0,0,0
293,companyd727b196-9aba-11ec-99ea-91a3794e9168,0,0,0
294,company35f794f2-686b-11ec-adcc-cb4398d1f1f4,0,0,0
295,company3169b70b-9b1d-11ec-accd-bfc8125ff706,0,0,0
296,company20b1a310-b646-11ec-a46a-21f925e1dd9f,1,0,500
297,company0b62f609-7448-11ec-9ba0-add17d581c3e,0,0,0
298,company76455541-affc-11ec-82b1-0b05ee2ddd91,0,0,0
299,company8011a4f2-8afd-11ec-a6bd-a140798491eb,0,0,0
300,company148ba9e4-a9ce-11ec-a196-6d78e12decda,0,0,0
301,company9cc24833-9080-11ec-a54a-a151d1f31a03,0,0,0
302,company7a87abd6-661d-11ec-9912-e5e5202974e0,1,0,500
303,company7a4ddcfb-6334-11ec-88e2-35ae3fc9a7b7,1,0,500
304,company0c5b99e1-b3fa-11ec-9a15-3ba0213ad9df,0,0,0
305,company4943d8f2-bfc5-11ec-8b5f-93765e7d1e93,0,0,0
306,company33615613-bee5-11ec-908d-6594bf23eb61,0,0,0
307,company4c7fc7e8-c625-11ec-86b6-3518ce0346c6,0,0,0
308,company2c8110f6-b4a7-11ec-9c8c-6371241930b2,0,0,0
309,company0f3c9b4b-a369-11ec-ad92-61c1019a53ff,0,0,0
310,company5978fc63-b3ec-11ec-9625-bd2b8d200575,0,0,0
311,company86cdec36-a38b-11ec-9c8b-15c3d2eb4892,0,0,0
312,company02e7df40-7e89-11ec-9e7f-05581bdbe7f6,0,0,0
313,company3a44e623-aa75-11ec-aae0-5572b7de1996,0,0,0
314,company75b1fc73-8a3c-11ec-867f-19f60038abaa,1,0,500
315,company95382c16-baeb-11ec-b5a2-01f9f8568450,1,0,500
316,company46c0b569-43b5-11ec-aa7a-4f2e1996897a,0,0,0
317,company8628e8a1-8dbf-11ec-bfc5-d377f5bca7b4,0,0,0
318,companyc82e7daf-bfb4-11ec-aa57-f5a0569f2976,0,0,0
319,company4214528c-bed8-11ec-ac7a-615dd904d95d,1,1,0
320,companyf3422faa-bedd-11ec-b231-c70d38df568b,0,0,0
321,companye5a3a330-b720-11ec-a50d-eb61562f5e24,0,0,0
322,company8b92374e-64a4-11ec-8250-a94b1c0a74ea,0,0,0
323,companya5cf65cb-6dff-11ec-bdb0-312be48f9404,0,0,0
324,company0b2cc787-9166-11ec-913c-a7645639d223,0,0,0
325,companyd869acd7-a0f8-11ec-b336-25e9b3141bba,0,0,0
326,company912e20d0-738d-11ec-be62-c719a363dfae,0,0,0
327,companyce88be73-9f8c-11ec-9822-3f63afd2bf42,0,0,0
328,company0322c71b-63b9-11ec-9b09-eb93b3124849,1,0,500
329,company3addae01-908e-11ec-8bb2-e92d0fceb914,0,0,0
330,companyd28fce5f-ad08-11ec-bce7-ad854c683ebe,1,0,500
331,company6f03ddf2-af29-11ec-aeef-d9f3b9cac8ef,1,0,500
332,companya8bc8128-7434-11ec-a820-9d65b2ba5c08,0,0,0
333,company5395cbdd-b0e1-11ec-970b-e36635d8961d,0,0,0
334,companyb0051c45-83f4-11ec-823c-918be072db9e,1,0,500
335,company0a2c9939-a140-11ec-9943-3351b6c236a4,1,0,500
336,companyc0407d0e-125d-11ec-830d-c51d13bcf020,0,0,0
337,company008ed9bf-ad00-11ec-931e-c5fd39da12cd,1,0,500
338,company8011a4f2-8afd-11ec-a6bd-a140798491eb,0,0,0
339,companyd009a5e6-6185-11ec-8d10-a53ec211cc70,0,0,0
340,companyaca57db1-c53e-11ec-8696-c7501020ba43,0,0,0
341,company74616849-ad16-11ec-a891-af72439ea5b4,0,0,0
342,company6666cbd6-b56e-11ec-b4f2-03950be75d9c,0,0,0
343,company0f31434f-688c-11ec-bac0-6773a30a6f15,0,0,0
344,company1c7ab535-c789-11ec-ac10-9d44d45b374f,0,0,0
345,company77a29cf7-b0ec-11ec-81fa-e18107513a76,0,0,0
346,companyf0d5cb81-99f8-11ec-8cd3-5bd56a164022,0,0,0
347,company08920958-a6ac-11ec-8cd5-df81ba42fcb6,0,0,0
348,company6a39dd57-9a38-11ec-af4f-87b0b5258775,0,0,0
